dropout,l2_lambda,architecture,test_mse,test_rmse,test_cos,test_top3,test_top5
0.0,0.0,"[64, 32]",0.1406257915517652,0.3750010554008684,0.6451603976857059,0.0,0.006543075245365322
0.0,1e-05,"[64, 32]",0.1406255892861073,0.3750007857139866,0.6451605834297449,0.0,0.006543075245365322
0.0,0.0001,"[64, 32]",0.14062560767596183,0.3750008102337405,0.6451605665441549,0.0,0.006543075245365322
0.0,0.001,"[64, 32]",0.1406257915517652,0.3750010554008684,0.6451603976857059,0.0,0.006543075245365322
0.1,0.0,"[64, 32]",0.1406257915517652,0.3750010554008684,0.6451603976857059,0.0,0.006543075245365322
0.1,1e-05,"[64, 32]",0.1406255892861073,0.3750007857139866,0.6451605834297449,0.0,0.006543075245365322
0.1,0.0001,"[64, 32]",0.14062560767596183,0.3750008102337405,0.6451605665441549,0.0,0.006543075245365322
0.1,0.001,"[64, 32]",0.1406257915517652,0.3750010554008684,0.6451603976857059,0.0,0.006543075245365322
0.2,0.0,"[64, 32]",0.1406257915517652,0.3750010554008684,0.6451603976857059,0.0,0.006543075245365322
0.2,1e-05,"[64, 32]",0.1406255892861073,0.3750007857139866,0.6451605834297449,0.0,0.006543075245365322
0.2,0.0001,"[64, 32]",0.14062560767596183,0.3750008102337405,0.6451605665441549,0.0,0.006543075245365322
0.2,0.001,"[64, 32]",0.1406257915517652,0.3750010554008684,0.6451603976857059,0.0,0.006543075245365322
0.3,0.0,"[64, 32]",0.1406257915517652,0.3750010554008684,0.6451603976857059,0.0,0.006543075245365322
0.3,1e-05,"[64, 32]",0.1406255892861073,0.3750007857139866,0.6451605834297449,0.0,0.006543075245365322
0.3,0.0001,"[64, 32]",0.14062560767596183,0.3750008102337405,0.6451605665441549,0.0,0.006543075245365322
0.3,0.001,"[64, 32]",0.1406257915517652,0.3750010554008684,0.6451603976857059,0.0,0.006543075245365322
